"0","13"
"1","22"
"2","2"
"3","2"
"4","17"
"5","11"
"6","23"
"7","13"
"8","20"
"9","10"
"10","9"
"11","11"
"12","9"
"13","4"
"14","5"
"15","6"
"16","8"
"17","2"
"18","0"
"19","16"
"20","0"
"21","3"
"22","9"
"23","19"
"24","4"
"25","23"
"26","21"
"27","7"
"28","24"
"29","17"
"30","23"
"31","23"
"32","16"
"33","12"
"34","13"
"35","2"
"36","19"
"37","15"
"38","15"
"39","19"
"40","13"
"41","13"
"42","15"
"43","13"
"44","0"
"45","3"
"46","14"
"47","24"
"48","0"
"49","7"
"50","3"
"51","22"
"52","9"
"53","5"
"54","2"
"55","23"
"56","9"
"57","17"
"58","14"
"59","13"
"60","2"
"61","11"
"62","0"
"63","0"
"64","6"
"65","14"
"66","20"
"67","12"
"68","21"
"69","24"
"70","22"
"71","21"
"72","8"
"73","22"
"74","18"
"75","17"
"76","17"
"77","6"
"78","19"


"Confusion Matrix"
"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z"
"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0"
"0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0"
"0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"


"Precision"
"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z"
"0.6666666666666666","0.0","0.5","0.3333333333333333","0.5","0.5","1.0","0.5","1.0","0.4","0.0","1.0","0.5","0.42857142857142855","0.6666666666666666","0.3333333333333333","1.0","0.4","1.0","0.25","1.0","0.3333333333333333","0.5","0.4","0.6666666666666666","0.0"
"Recall"
"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z"
"1.0","0.0","0.75","0.3333333333333333","1.0","0.5","0.75","0.3333333333333333","0.6666666666666666","0.5","0.0","0.75","0.3333333333333333","0.75","0.6666666666666666","0.3333333333333333","0.6666666666666666","0.5","0.3333333333333333","0.5","0.6666666666666666","0.3333333333333333","0.6666666666666666","1.0","0.6666666666666666","0.0"

"F1-Measures"
"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z"
"0.8","0.0","0.6","0.3333333333333333","0.6666666666666666","0.5","0.8571428571428571","0.4","0.8","0.4444444444444445","0.0","0.8571428571428571","0.4","0.5454545454545454","0.6666666666666666","0.3333333333333333","0.8","0.4444444444444445","0.5","0.3333333333333333","0.8","0.3333333333333333","0.5714285714285715","0.5714285714285715","0.6666666666666666","0.0"

"Accuracy","0.5443037974683544"
"F1-Macro","0.5086469086469086"
"F1-Weighted","0.5251264909492758"
